plate,reviewer_comments
4O8FINS,AREA CODE; 408
AWKITTY,SEXUAL; KITTY
BIG B 17,BIG BITCH 17
BLKPWR2,HOSTILE; BLACK POWDER OR POWER
BOOYA 13,GANG; 13
BYE PUTO,INSULT; BYE PUTO!
CAMIE14,GANG; 14
CEK13,GANG; 13
CHUF GOD,CHUF=SMOKE WEED
DABULLY,VULGAR; THE BULLY!
EVIL GOD,REPULSIVE
RAW SINN,PULLING FOR RAW
RAWBART,PULLING FOR RAW
RED NACK,SLANG; REDNECK
SBF MFIA,GANG; MAFIA
SEP19 88,GANG; 88
SF SUCKS,PULLING FOR SUCKS
SGYTACO,SOGGY TACO
SNMDROO,S AND M (HER NAME IS OROZCO)
SWNGTRD,OBSCENE; TRD=TURD
TXAXNXD,XXX=PORN
URABABO,INSULT; YOU ARE A BABO=FOOL?
URNTRED,YOUR ARE NOT RED (RED=GANG)
2BLKPWR,HOSTILE; BLACK POWDER OR POWER?
5O3NATN,AREA CODE; 503
6 WON 9,SEXUAL; 69 WON; 619
619DMAX,AREA CODE; 619
H8 MUDD,HOSTILE; HATE!
I8I8I,88=GANG
LETS 66,POSSIBLE SEXUAL
L V BAGG,SEXUAL
MA CHTTE,WEAPON; MACHETE
MECHUPA,SEXUAL ACT; CHUPA=SUCK D DICK!
MESSI FN,MESSY FUN OR EFFIN
MRS FUU,SWEAR; FUU=FUCK U & U!
MYSTI8U,MY STI ATE YOU
NASTTYM,NASTY TIME
OFFW HDZ,HOSTILE; OFF WITH HEADS!
OG MK,HOSTILE; OG
OGVENOM,HOSTILE; OG
OG 65 SS,HOSTILE; DOUBLE WHAMMY FOR OG & SS
OMW2FUS,PROFANE; ON MY WAY TO FUCK U'S!
H8Y9RZ,HOSTILE; HATE 49ERS!
DS TACO,SEXUAL; TACO (NO TOYOTA ON DCS)
FANCY BA,SEXUAL; FANCY BIG/BAD ASS
IS F U2,SWEAR; F=FUCK!
TACOS MM,SEXUAL; TACOS
CAHWKEY,VULGAR-COCK (ASSIGNED SINCE 2014)
DDSNUTS,THESE NUTS
DD27,SEXUAL-DD; initials are DD
FGTBTIT,SEXUAL-TIT OR FGT-FAGGOT ( ASSIGNED SINCE 1998)
MGJG569,SEXUAL-69
OLIVCKY,SEXUAL- CK/COCK
YOU SHUD,HOSTILE- YOU SHOULD
1FASTGL,VULGAR-ONE FAST GIRL
13EDDIE,GANG-13
CHECO 13,GANG- 13
51KAZFK,VULGAR-FK
CORRE13,GANG-13
ALG13,GANG-13; ALG13 is the gene that if it has a mutation it can lead to epilepsy 
AMES 18,HOSTILE-18
B GARCYA,"STAND ALONE B, name is Garcia"
BIZMNKY,MONKEY; MNKYBIZ current
B LUSTRE,STAND ALONE B; name is Lustre
B MER,STAND ALONE B
CHKN 69,SEXUAL-69; no 69 on ANI
CHNGNSS,HOSTILE-SS; looks like Chingon
CHNGOON,HOSTILE-CHINGON/BAD ASS IN SPANISH
CRIPPEN,GANG-CRIPPING; true ----------------------->
CUFYOBI,SEXUAL-I BOY FUC BACKWARDS
CUPAH8Z,HOSTILE-HATE; last name Torres
C10 SS,HOSTILE-SS; could be a Chevy C10 Super Sport
DEDSHOT,HOSTILE-DEADSHOT
DMAXXXD,SEXUAL-XXX; Chevy truck on ANI
DOS TACO,SEXUAL-TACO
ESDRAS B,STAND ALONE B; name is Esdras B
FLEXXXN,"SEXUAL-XXX; conversion to Legacy, plate out since 2015"
FNMC784,VULGAR-FN/FUCKING; initials are MFC
FOU R C,VULGAR-FUCK; true ----------------->
G MEXICO,STAND ALONE G; last name Gomez
G RODD1,"STAND ALONE G; G RODD current, name is  Rodriguez"
GSRO415,AREA CODE
ILOVEPI,PIE
IMIGRNT,HOSTILE-IMMIGRANT
IMNFRTU,HOSTILE- IM IN FRONT OF YOU
IOBGHAR,RAHG BOI IN REVERSE; name is Herna Isidro Olmedo
JACOB 14,GANG-14
JAY GANG,HOSTILE-GANG
JOOSEBX,"VULGAR- JUICE BOX; JUICEBX current, JUICBOX unacceptable"
KENZO13,GANG-13
MINI MF,VULGAR-MOTHER F
MYTACO2,SEXUAL-TACO
NO TACOS,SEXUAL-TACOS
NSSTY71,HOSTILE-SS
NSSTY72,HOSTILE-SS; 71 on ANI
NURSE B,STAND ALONE B; name is Bianca
P MEX,STAND ALONE P; true ------------------------->
POISN2U,HOSTILE-POISON TO YOU
RMBLB 13,GANG-13; 13 Chevy on ANI
ROBOKOP,ROBO COP; ROBOCOP unacceptable
RUBAHO,VULGAR- RUB A HOE
RU PIKY2,HOSTILE-ARE YOU PICKY TOO; Pikey is an ethnic slur in England
SANDIX2,SEXUAL-DIX/DICKS
SLYN IT,HOSTILE-SLAYING IT; SLAYNIT unacceptable
SMCK X3,SEXUAL-XXX
SS 9 RS,"HOSTILE-SS; Infinity, Honda, Mazda, Toyota on ANI"
SWAGGYD,SEXUAL  (NAME IS DEVIN)
TATA UJC,TATA/BREAST
TELLIE G,"STAND ALONE G; plate current, conversion to Legacy"
TGGR2O9,AREA CODE
TODDY D,STAND ALONE D (TODD DELZER)
U2 TACO,SEXUAL-TACO; Toyota on ANI
VICKS SS,HOSTILE-SS; Chevy auto on ANI
X STRPER,SEXUAL-EX STRIPPER
YUBAH8R,HOSTILE-HATER
1BOPPA6,"BOPPA/HOE (500 Up, 300 Down on UD)"
14 ADAMS,"GANG-14; current, out since 09"
51MERC8,HOSTILE-MERC; 51 Mercury on ANI
6DIGER9,SEXUAL-69; 69 Ford on ANI
6T9 TTJ,SEXUAL-69; 69 Ford on ANI
619DOGG,AREA CODE
8 BNB 8,HOSTILE-88
8 UFO 8,HOSTILE-88
88AMA86,HOSTILE-88
88I8J88,HOSTILE-88
925X7O2,AREA CODE
RAW DLX,SEXUAL-RAW
SVG 13,GANG-13; no 13 on ANI
PEE&ZEE,VULGAR-PEE
DADDY P,STAND ALONE P; no P initial
FCYMIMI,VULGAR-FUCK YOU MIMI
69NICKY,SEXUAL-69
FTON4ME,VULGAR-FTON/FUCK TON
GREEN P,STAND ALONE P; name is Peter
ALFA QAD,HOSTILE-ALPHA SQUAD; ALFa Romeo's on ANI
EPA LMAO,VULGAR-LMAO
ETHAN13,GANG-13
FOKITOL,VULGAR-FUCK IT ALL
H SQUAD,HOSTILE-HIT SQUAD/SQUAD
IKENDAI,HOSTILE-I CAN DIE
KM 67SS,HOSTILE- SS; Chevy on ANI
KP CNT16,VULGAR-CNT
KTTY DR,SEXUAL
KYLE SS,HOSTILE-SS; Chevys on ANI
LCJ 88,HOSTILE-88; no 88 on ANI
MEIN911,ME IN 911; porsche on ANI
MOAB XX,HOSTILE-MOTHER OF ALL BOMBS
MYJOY88,HOSTILE-88; no 88 on ANI
NIQUE88,HOSTILE-88; no 88 on ANI
03 911,911/ POSSIBLE CAR MODEL; Porsches on ANI
POOLICE,POLICE
PRPL 911,911/ POSSIBLE CAR MODEL; Porsche on ANI
SKAL 2U,HOSTILE- TO YOU
SSDI LWR,HOSTILE-SS
SSLVLUP,"HOSTILE-SS, no Chevy on ANI"
SS MLIBU,HOSTILE- SS; no Chevy on ANI but I don’t know what else this could be refering to
TACOFVR,SEXUAL-TACO; Toyota truck on ANI
TACO911,SEXUAL-TACO
TRESXXX,SEXUAL
XKHAN,HOSTILE-EX CON; name is Khan
XSVFORC,HOSTILE- EXCESSIVE FORCE
2SSTOCK,HOSTILE-SS; Chevys on ANI
NYPD195,NEW YORK POLICE DEPT
KITIN,
$2TWERK,SEXUAL-LOVE TO TWERK
ALLBLAX,HOSTILE-ALL BLACKS
JAP MSCL,JAP
JWGUNR 1,"HOSTILE-GUNNER, initials are jw"
88KEYYS,HOSTILE-88/ PROBABLY PIANO REF.
EMZP415,AREA CODE
ENPAU13,GANG-13
SHER 69,SEXUAL; 69 on ANI
16M14M 7,GNAG-14/M14 GUN REF.
707 JEEP,AREA CODE
SDK S13,GANG-S13
KAMLTOW,SEXUAL-CAMEL TOE
HOTCQAT,HOT QAT/CAT
AMEI777,777
ASSAI16,ASS
BMDUBSS,DUMBASS; current
BOS POS,POS-PIECE OF SHIT
DART 4O8,AREA CODE 
DOAKING,DOA-DEAD ON ARRIVAL
DOOKY,DOOKY-POOP
HAPPY88,88-HOSTILE; no 88 on ANI
JYV I3,13-GANG 
KALI888,88-HOSTILE 
KCKBH17,"KCK-KICK,HOSTILE "
MAFIA MC,MAFIA 
RHDEZ13,13-GANG; no 13 on ANI
RONE 13,13-GANG; no 13 on ANI
SDEE619,AREA CODE 
SIXXX 5,SIX-SEX
SMC TACO,TACO-SEXUAL 
TACO123,TACO-SEXUAL 
TTNT DAD,"TNT-BOMB, HOSTILE "
U2NOZEE,"YOU TOO NOSY, INSULTING "
VKD 8668,88-HOSTILE 
WEN1388,13-GANG 
1R13,13-GANG 
45 IMPCH,IMPEACH TRUMP
562 E92,AREA CODE 
916 BRBR,AREA CODE 
HD 951,AREA CODE 
KCUFYOU,F YOU
YOCOUCH,"COUCH-COOCH,SEXUAL "
DPSTR,DOUBLE PENETRATION STAR-VULGAR
GREYT WT,GREAT WHITE-RACIAL 
YPKYAMF,YIPPE KI YAY MOTHER FUCKER
1SHER 88,88-HOSTILE; no 88 on ANI
HB OG,OG-GANG 
HB RITA ,"HB-HEAD BITCH, VULGAR "
ATITAHC,TIT-SEXUAL 
ATC BOSS,BOSS-GANG
BAE STI,BAE-SHIT IN DANISH; Subaru on ANI  
BAT AF,"AF-AS FUCK, VULGAR "
BEACH AF,"AF-AS FUCK, VULGAR "
BGTFOMW,BITCH GET THE FUCK OUT MY WAY
BLKRED S ,"STANDALONE S-SHIT, VULGAR"
B NAGY,STANDALONE B 
BOSS MEX,BOSS-GANG
B SANGHA,STANDALONE B 
CHAKA AF,"AF-AS FUCK, VULGAR "
FREAKIE,SEXUAL 
FYS 88,88-HOSTILE 
IRUN 559,AREA CODE 
JJTAKOS,TACOS-SEXUAL 
JNKTRNK,"JUNK TRUNK-BIG BUTT, SEXUAL "
OFUGLEY,"FUCKING UGLY, VULGAR"
OMW2CYN,ON MY WAY TO SIN-VULGAR 
PECE 911,911
P FRESH ,"P-PUSSY, VULGAR "
SCATACK,SCAT SHIT-VULGAR 
SMPRFMF,"MF-MOTHER FUCKER, VULGAR "
SS BRBAN ,SS-GANG 
SS2 1LE,SS-GANG 
TFISWT1,FIST-HOSTILE 
TNJGT5O,LAW 5O
BABAFUQ,FUQ=FUCK/FUCK YOU
BZ NUTS,PULLING FOR 'NUTS'
CHNDO13,13=GANG
DAHBEEZ,BEEZ=BITCH
DGAFTBH,DGAF=DON'T GIVE A FUCK
DIXTACO,PULLING FOR 'TACO' (HAS '84 TOYOTA)
E7C9M13,13=GANG
FCK CNR,FUCK CANCER
FICO FU,FICO FUCK YOU
FKNIGHT,FUCK NIGHT
JE N1818,18=GANG
LBTY DTH,DEATH
LE ROACH,ROACH=DRUGS
LUCIA 13,13=GANG
LYN PYPE,LAYIN' PIPE; SEXUAL
MAWKTTY,KITTY=SEXUAL
PHO YUH,FUCK YOU
PROZAC,PRESCRIPTION DRUGS
PURPLEE,PURPLE=STRAIN OF WEED
PYG81,PIG=SLANG FOR COPS
RIP U UP,HOSTILE; SEXUAL
RON SS,SS=GANG (HAS SEVERAL CHEVY'S)
RSTY AF,RUSTY AS FUCK
RUN UOVA,RUN YOU OVER; HOSTILE
SCOREFU,FU=FUCK YOU
SGGYTCO,SOGGY TACO
SMUTHER,SMOTHER; HOSTILE
SS ROMAN,SS=GANG (HAS A '75 CHEVY)
S14DOT5,14=GANG
WAX YOU,YOU
WHOASKU,YOU
YOUH8ME,YOU HATE ME
Z BLASÉ 1,BLAZE=DRUG REFERENCE (HIS INITIALS ARE JBZ)
1SHOTKM,SHOT
13XZZ,13=GANG
14BUFFS,14=GANG
4O9SS64,SS=GANG (HAS '72 CHEVY)
51O LIFE,AREA CODE
65 TATAS,TATAS=BOOBS
BG WHT,BIG WHITE
FREE B,B=BITCH
EFS 1,EF=EFFIN
BEST X,X=ECSTACY
F TWENY2,F=FUCK
RED14EZ,14=GANG
SS2,SS=GANG
HOEARTH,PULLING FOR 'HO'
BAANGIN,SEXUAL-BANGING
BAE90,VULGAR-BAE
BANG MD,SEXUAL-BANG DOCTOR
BCH4US4,VULGAR-BCH/BITCH AND US4-COULD BE A SUB FOR USA
BJJ SRF,SEXUAL-BJ
BLLYRYD,SEXUAL-BELLY RIDE
BMW GANG,VULGAR-GANG
BNDIDO1,HOSTILE-BANDITO
BOOBBY3,SEXUAL-BOOBY
BOOB3AR,SEXUAL- BOOB BEAR AND SUB; BOOBEAR current
BSSTANG,HOSTILE-SS
BTOPLSS,SEXUAL-BE TOPLESS
CMN4U,SEXUAL-SEMEN FOR YOU OR CUMMING FOR YOU
CPDOGS1,PD DOGS
CR8UR6S,CREATE URGES 
DRK 4U,HOSTILE-DARK FOR YOU
DR 415,AREA CODE
DSNR 925,AREA CODE
DUKSUCK,HOSTILE-PULLED FOR SUCK
FEDPRTY,FED PARTY
FERMA 13,GANG-13
FLEXUSS,HOSTILE-SS
FOSST,HOSTILE-SS
FULYF11,VULGAR-F U LIFE
F4U 5NL,VULGAR-F FOR YOU
GANGLND,HOSTILE-GANGLAND
GBEE619,AREA CODE
GPOSTAL,HOSTILE-GO POSTAL/GONE POSTAL
GUNSAFT,HOSTILE-GUN
HONK 3XS,SEXUAL-3X/XXX
HPFREAK,HOSTILE-FREAK
ILUO113,GANG-13
ISF U,VULGAR-FU
ITHROWU,HOSTILE-I THROW YOU
I XECUTE,HOSTILE- I EXECUTE
KANIBAL,HOSTILE-CANNIBAL
KGB4EVA,HOSTILE-KGB
KK 18,HOSTILE-18
KNKYPUP,SEXUAL-KINKY PUP
KTYNMDY,SEXUAL-KITTY
LA BBGRL,SEXUAL-BBGIRL/BIG BOOTY GIRL
LAH13,GANG-13
LCKM 5,SEXUAL-LICK EM
LOCO335,HOSTILE-LOCO/CRAZY
L8RS BAE,VULGAR-LATER BAE
MERCS46,HOSTILE-MERC
NOTAPDK,SEXUAL-DK/DICK
OCATASI,SEXUAL-ISA TACO BACKWARDS
OGSVTO3,HOSTILE-OGS VATO
OMG UH8R,HOSTILE-YOU HATER
OMID 13,GANG-13
OU8SUM 2,VULGAR-OH YOU ATE SOME TOO?
06XXX90,SEXUAL-XXX
POPN GMA,HOSTILE-POPPIN GRANDMA
P9LEVEN,EMERGENCY NUMBER 911
RAMSS,"GANG-13 AND SS; RAMSS unacceptable, RAM55 current"
RAMS323,AREA CODE
ROKZ HRD,SEXUAL-ROCKS HARD
ROMP IT,SEXUAL-ROMP
RTNT8888,HOSTILE-TNT
RTRD 50,RETARD
SLOPIJO,SEXUAL-SLOPPY JOE/SLOPPY J
SS66RAG,HOSTILE-SS
SS69R,SEXUAL-69
SS 909,HOSTILE-SS
STLLA13,GANG-13
SWT VAN,SWAT VAN
TAKO PRO,SEXUAL-TACO
TDOGG88,HOSTILE-88
THA SS,HOSTILE-SS
TI TI,SEXUAL-TITTY OR MALE GENITAILIA IN FILIPINO
TUNA LOL,SEXUAL-TUNA
TWNSKRU,HOSTILE- TOWNS CREW
TWTY 2,HOSTILE-22/GUN
UGO CREW,HOSTILE-CREW
VNGEFUL,HOSTILE-VENGEFUL
VQ BAE,VULGAR- BAE
XX805XX,AREA CODE
X 805 X,AREA CODE
YOUBOZO,HOSTILE-YOU BOZO
Z7777ZZ,CONFUSING CONFIGURATION
1D3OM16,HOSTILE-M16/GUN
1RTRO SS,HOSTILE-SS
1 RVRCRW,HOSTILE-CREW
13SFTBL,GANG-13
143MY45,HOSTILE-45/GUN
3HBWIII,LOOKS LIKE AN AUTO SERIES
37SMOBN,HOSTILE-MOBBING
392 RIOT,HOSTILE- RIOT
4TCKREW,HOSTILE-CREW
5RA38OG,HOSTILE-OG
562SRT8,AREA CODE
6PT2 SS,HOSTILE-SS
7SQDMPG,HOSTILE-SQUAD
7VEE12A,LOOKS LIKE AN AUTO SERIES
8AGN8,"HOSTILE-88, ALSO LOOKS LIKE BANGN8"
8762CHP,CHP
909 ER,AREA CODE
DRM$SQD,HOSTILE-DREAM SQUAD
1$2 MTB,I LOVE TO MASTURBATE
SLPBTY2,SEXUAL-SLAP BOOTY
PSA69,SEXUAL-69
FBI8888,FBI
FUKASTI,VULGAR-FUK
FUUHHHH,VULGAR-FU
HRDHRHR,CONFUSING CONFIGURATION
H8RGNHT,HOSTILE-HATER
LOLA 88,HOSTILE-88
LSX87SS,HOSTILE-SS
MNKYPPA,VULGAR-MONKEY
NUKENEM,HOSTILE-NUKING THEM
PINKYYY,SEXUAL-PINKY
SS4BUD,HOSTILE-SS
MKNAZTY,VULGAR-MK NASTY
BUTCH 38,HOSTILE-GUN
NASTO 69,SEXUAL-69
O7LS4SS,HOSTILE-SS
RPG EP,HOSTILE-RPG
SSJOEL,HOSTILE-SS
TEARUUP,HOSTILE-TEAR YOU UP
VCR22MM,HOSTILE-22MM
WR3XXXB,SEXUAL
ZZZ 69,SEXUAL-69
1BADD 88,HOSTILE-88
IC3SS,HOSTILE-SS/POSSIBLE SUB (ICE)
LA D DA3,STAND ALONE D
MOBBENN,HOSTILE-MOBBING
KB 8 08,HOSTILE-88
KNGKREW,HOSTILE-CREW
1BOSS11,HOSTILE-BOSS
ART 88,HOSTIL-88
BD 13,GANG-13
BET88,HOSTILE-88
BOOZTNG,HOSTILE-BOOSTING/STEALING
BOSS818,ARE CODE 818
BOYTOY3,SEXUAL-BOY TOY
CHANGGA,"INSULTING, MONKEY"
CUBTCHS,VULGAR-SEE YOU BITCHES
DADURTY,VULGAR-THE DIRTY
DISND UP,SEXUAL-THIS END UP
DROD 13,GANG-13
DX CHASR,SEXUAL-DICKS CHASER
FDNYNKS,VULGAR-FUCK THE NY KNICKS
F GUZMAN,VULGAR-FUCK GUZMAN
GACMJAP,JAP
GUZMN SS,HOSTILE-SS
HLBILYY,HILL BILLY
JAX OFF,SEXUAL
JAYMO14,GANG-14
L KLIQUE,HOSTILE-CLIQUE
MDNIT 69,SEXUAL
MRDR VTT,HOSTILE-MURDER
MRXCREW,HOSTILE-CREW
MY68U14,GANG-14
NSTANT O,INSTANT ORGASM
PIGGY Q,PIGGY
SIXT9VW,SEXUAL-69
SNOW TRD,VULGAR-TRD
SS4SUGR,HOSTILE-SS
SS 454GR,HOSTILE-SS
STIKRSS,HOSTILE-SS
TACO XL,SEXUAL- XL TACO
TACO4N8,SEXUAL- TACO 
TITS 37,VULGAR - TITS/BREASTS
TOPHAT G,STAND ALONE G
TT 27,VULGAR - TITTY/BREASTS
T1DX2,VULGAT - DX/DICKS
VROOM88,HOSTILE-88
2 F4U,HOSTILE-TOO FAST FOR YOU
3 22 14,GANG-14
454SS 2,HOSTILE-SS
61AFBRT,VULGAR-AF/AS FUCK
77KLK88,HOSTILE-88
88HVYWT,HOSTILE-88
$NBONE,SEXUAL-LOVE AND BONE
SSPIKD$,HOSTILE-88
7MAD$13,GANG-13
HIKNBCH,VULGAR-HIKING BITCH
2THBCH,VULGAR-BITCH
EMMYJ13,GANG-13
FMY LIMO,SEXUAL-FUCK MY LIMO
FUN2HV1,DELETED SERIES
KAMP KRU,HOSTILE-CREW
LVN MYDX,SEXUAL
NUDES OK,SEXUAL
STR88CH,VULGAR - STRAIGHT BITCH
TEL G US,STAND ALONE G
BOOSTNU,HOSTILE-BOOSTING YOU/TO STEAL
BOSS16,HOSTILE
BUBS 911,EMERGENCY NUMBER
CHTBOYS,HOSTILE-GANG RELATED
COBR TA,SEXUAL- T AND A/TITS AND ASS
CREWOCS,HOSTILE-CREW
DCLBFTW,VULGAR-FTW/FUCK THE WORLD
DVS CRW,HOSTILE-CREW
FJ14,GANG-14
GOTTCHU,HOSTILE-GOT YOU
HURRIUP,HOSTILE-HURRY UP
KENKYLA,SEXUAL-KINKY
NAG ITCH,VULGAR-COULD MEAN BITCH
NE GRTO,SPANISH FOR BLACKY
RSTY50,5.O.
R WILY S,SEXUAL-WILLY
TACOEN1,SEXUAL-TACO
TATA 17,SEXUAL-BREASTS
U H8IN,HOSTILE-YOU HATING
38NA911,EMERGENCY NUMBER
1 FTW 1,VULGAR-FTW/FUCK THE WORLD
AHKAI88,HOSTILE-88
SIG SIGS,HOSTILE-SIG/GUN
B CA XV,STAND ALONE B
BOXJUMP,SEXUAL-BOX
BUNNY14,GANG-14
CAT MAN3,CAT
CMAN7O7,AREA CODE
DILLY D,SEXUAL-STAND ALONE D
DOA MERC,HOSTILE-DOA MERCENARY
D TJUAS,STAND ALONE D
DUETO 69,SEXUAL-69 (NO '69 ANI)
DUKI SOG,VULGAR-DOOKIE/CRAP
FK8 CTR,VULGAR-FK/FUCK
G CHIRO,STAND ALONE G
G HARO,STAND ALONE G (NAME HARO)
G OHANA,STAND ALONE G
GRAZIE D,STAND ALONE D
GULLY G,STAND ALONE G
H8 CHEV,HOSTILE-HATE CHEVY
IN4OOMF,VULGAR-MF
IRSHXIT,IRISH SHIT?
IV 13,GANG-13
JAZKAT7,SEXUAL-CAT
JR NINJA,NINJA SUBBED FOR N***A
KOOCHUL,SEXUAL-KOOCH
KOOLBOX,SEXUAL-BOX ('49 FORD ANI)
LAZY SS,HOSTILE-SS
LOKLOD1,HOSTILE-LOCK AND LOAD
LONG DE,SEXUAL-LONG D
OGHOCKY,HOSTILE-OG
Q CHI,SEXUAL-Q CHI/COOCHIE
RI OR  DI,HOSTILE-DI
SIK8O5R,AREA CODE
SUKA 2,VULGAR-SUKA/SUCKER
TCA13,GANG-13
TECC714,AREA CODE
TITAN B,STAND ALONE B
TITOOO7,SEXUAL-TIT
TOMS 38,HOSTILE-38/GUN
V STING,STAND ALONE V
V XXII,STAND ALONE V
2 MKEYS,HOSTILE-TWO MONKEYS
32THREE,AREA CODE-323
AK CHIC,HOSTILE-AK/AK47
ELGNT AF,VULGAR-ELEGANT AS FUCK
FRKNCAT,VULGAR-FREAKN CAT
SANGR 13,GANG-13
SUGR BTT,SEXUAL-SUGAR BUTT
YTANAHO,HO
ILUV HOE,I LOVE HO
818CMPR,AREA CODE
HNS PIG,PIG
AWIWII,SEXUAL-A WEE WEE
BDSS70,HOSTILE-SS
BESTSHT,VULGAR-BEST SHIT
BGN THOT,VULGAR-THOT
BNY GNNS,HOSTILE-GUNS
BRUJA 18,HOSTILE-18
CMBTCAM,HOSTILE-COMBAT CAM
DICK WLF,SEXUAL-DICK
DPLRRBL,HOSTILE-DEPLORABLE
EGEE 209,AREA CODE
EMFIX,VULGAR-MF
FKN ANGL,VULGAR-FU**ING ANGEL 
GIGGLE BX,SEXUAL-BOX
GOON365,HOSTILE
HDYOGRL,HOSTILE-HIDE YOUR GIRL
IMPLA SS,HOSTILE-SS
JMAHG,HOSTILE-MAG/GUN MAGAZINE
KILLR HR,HOSTILE-KILLER
KR8Z BIT,VULGAR-KRAZY BITCH
KYLSBNZ,KILLS BENZ
MESSY TT,SEXUAL-TT
MSSTG 65,HOSTILE-SS
MWO2288,HOSTILE-88
NCE KITY,SEXUAL-NICE KITTY
OGPLANB,VULGAR-ORIGINAL PLAN B
OL KOOT,VULGAR-OLD KOOT
OR TACO,SEXUAL-TACO
PHO HER,VULGAR-FUCK HER
PHO MI-2,VULGAR-FUCK ME
PSU 311,SEXUAL
REKITTY,SEXUAL-KITTY
SHTFICO,VULGAR-SHT/SHIT
SUMRSUX,VULGAR-SUMMER SUCKS
TUFOEOH,TUF OL HO
VEGA SS,HOSTILE-SS
V8 U8GNG,HOSTILE-GNG/GANG
WETCH,VULGAR-WITCH/BITCH
WILMASS,VULGAR-ASS
XIIXIV,GANG-14
YBA CRAB,HOSTILE-CRAB/CRIP
14 RUBY,GANG-14
1934 ISH,VULGAR-ISH/SHIT
510ANML,AREA CODE
559 CAT,AREA CODE
NAVID 14,GANG-14
JR#14,GANG-14
I8SWAG,VULGAR-I ATE SWAG
MKEY97,DISPARAGING-MONKEY
BSH8R,BULLSHIT HATER
KITYC8K,SEXUAL-KITTY
LZYB RCH,VULGAR-LAZY BITCH
MNKYMBL,DISPARAGING-MONKEY
RANCH SS,HOSTILE-SS
807,AREA CODE
13MAGIC,GANG-13
ATAK 392,ATTACK
AULKH13,13 GANG REFERENCE
AY CHIT, SHIT
AYGUEYY,TERM OR ENDEARMENT OR NEGATIVITY
BASH MOM,BASH MOM
BIG B ZZ,BIG BEEZY BROAD BITCH
BIGHT ME,BITE ME
BMW MOB,MOB
BMWTRSH,TRASH DISS
BW88,88 HITLER REFERENCE
CAKES 14,14 GANG REFERENCE
CALIFUS,CALIFA ALSO KIND OF LOOKS LIKE A CURSE WORD
C GLASSS,ASS
CHD 13,13 GANG REFRENCE
CHNKY P,CHUNKY PUSSY
CPOPPOP ,POP POP GUN NOISE
CUL14CN,14 GANG REFRENCE; lookalike CULIACN is current
DC HOGS,HOGS
D IS FOR ,D AS IN DICK
DMBUGY1,DAMN
D MOOOVE,D AS IN DICK
DRAPSST,THE RAPIST
DR P 65,P AS IN PUSSY
DRT DOLL, SEXUAL
DRTO BAG,DIRTY OL BAG
DYE LIFE,DIE
EAT PORK,EAT PIG
EFEFVOC,EF FUCK
EVO TACO,TACO
FASXCAT,CAT
FAT MINI,FAT
FF XIV,XIV 14
FIERA 78,FIERA
FK LUCK,FUCK LUCK
FOOBARZ,VULGAR
FRODO88,88 HITLER REFERENCE
GODSCKO,GO PSYCHO
GR8FUL X,GRATEFUL X
GT2STPN,GET TO STEPPIN
GUZMN13,13 GANG REFERENCE
HARDOO7,HARD 7
HER TRD,HER TERD
HUNTUDN,HUNT YOU DOWN
IHRTNO8,I HEART NUMBER 8 I HURT NUMBER 8
IH8TTUN,HATE
INFADL,INFIDEL
JEEPWNO,WINO
KILLA64,KILLA
LEITO 1,LEITO BED
LGS88,88 HITLER REFERENCE
LYM8888,88 HITLER REFERENCE
MMM 14,14 GANG REFERENCE
MNRC BTR,BTR BEATER
MOFONOS,MOTHER FUCKERS KNOW
MS QEENB,QUEEN B
MURCN1,"MURKAN AMERICAN MERKAN COULD MEAN PUBIC HAIR WIG, COULD MEAN TO KILL AS WELL"
NAQVI69,69 SEXUAL
NOFK2GV,NO FUCKS 2 GIVE
OHDMNSN,OH DAMN SON
OLD DRTY,AS IN OL DIRTY BASTARD
OOOQQQQ,LOOK A LIKE
ORGNC AF,AS FUCK
OZONKLR,KILLER
PARSERA ,MEANS TO BE DISRESPECTED
PISTOL P,PISTOLL
RAVAGE 2,HOSTILE
RCHBOSS,RICH BOSS
RED TUBE,PORN SITE
RIP AUDI,REST IN PEACE AUDI
RMFGSV8,REAL MOTHER FUCKIN GANGSTAS V8
SAF13,13 GANG REFRENCE
SCAT ONU,SCAT SHIT ON YOU
SCRPN,SCRAPPIN
SCTPK13,13 GANG REFRENCE
SEVEN6O,760 AREA CODE
SHEEP D,D AS IN DICK
SHIRWDY,WOODY
SLK2FU N,SLK TO FUCK YOU IN
SNGR 13,13 GANG REFERENCE
SOFNLUC,SO FUCKING LUCKY
SOLID 5O,50 SOLID COP
SOLTENE,OBSCENE SHIT OUT OF LUCK
SRT8AN,CAN NOT TRANSLATE
SSTKN,STALKING STICKING
STRAYIN,STRAYIN
SUCC ME,SUCK ME
SUSSEX,SEX
SXNTBCH,SEX BITCH
SXYTIME,SEXY TIME
TACO PLB,TACO
TDETGOD,GOD
TFU TFUU,THE FUCK
TF4L MF,MOTHER FUCKER
THICKYB,B AS IN BITCH
UBCRAZY,YOU BE CRAZY
VEE88,88 HITLER REFERENCE
WAZAK13,13 GANG REFRENCE
WHYUSLO,WHY ARE YOU SLOW
WHYYTEE,WHITY
XBANGZX,BANGZ COULD BE SEXUAL OR GANG REFERENCE
YBFAV5O,5O COP
YOUR SLO,YOURE SLOW
YU HH8,WHY YOU HATE
1PHIN FN,FN EFFIN FUCKIN
